maxVmag_counts,maxVmag_g,xValue_counts,yValue_counts,zValue_counts,xValue_g,yValue_g,zValue_g,maxVmagTime,meanVmag_counts,meanVmag_g,sta,staIndex,startTimeFile,Category,Round,Heat,Day
2120.248913,0.517638895,1254.85646,-210,-1696.080988,0.30636144,-0.051269531,-0.414082272,2019-04-28T16:04:42.824500Z,121.6544451,0.029700792,FR,3,2019-04-28T16:04:29Z,Top Fuel,E1,Heat 1,Saturday
2700.850533,0.659387337,25.54607801,2097,1701.920092,0.006236835,0.511962891,0.415507835,2019-04-28T16:08:43.613100Z,137.5417448,0.033579528,FL,0,2019-04-28T16:08:24Z,Top Fuel,E1,Heat 2,Saturday
9187.037009,2.242928957,-410,-8710,-2893,-0.100097656,-2.126464844,-0.706298828,2019-04-28T16:08:42.881700Z,158.8886279,0.038791169,NL,1,2019-04-28T16:08:24Z,Top Fuel,E1,Heat 2,Saturday
6918.343443,1.689048692,-2186,-6424,1348,-0.533691406,-1.568359375,0.329101563,2019-04-28T16:08:43.106000Z,155.0470529,0.037853284,NR,2,2019-04-28T16:08:24Z,Top Fuel,E1,Heat 2,Saturday
1998.724648,0.487969885,-537.2881304,1008,1640.170017,-0.13117386,0.24609375,0.400432133,2019-04-28T16:08:43.564500Z,121.6273729,0.029694183,FR,3,2019-04-28T16:08:24Z,Top Fuel,E1,Heat 2,Saturday
2207.884115,0.539034208,368.3720451,2173,-130.86368,0.089934581,0.530517578,-0.031949141,2019-04-28T16:13:33.053100Z,139.7440137,0.034117191,FL,0,2019-04-28T16:13:15Z,Top Fuel,E1,Heat 3,Saturday
10312.04863,2.517589998,1231,10125,1519,0.300537109,2.471923828,0.370849609,2019-04-28T16:13:32.516700Z,156.1899131,0.038132303,NL,1,2019-04-28T16:13:15Z,Top Fuel,E1,Heat 3,Saturday
7497.005802,1.830323682,-7306,334,1648,-1.783691406,0.081542969,0.40234375,2019-04-28T16:13:32.546000Z,160.6060014,0.03921045,NR,2,2019-04-28T16:13:15Z,Top Fuel,E1,Heat 3,Saturday
2490.321535,0.607988656,-1074.684964,-177,2239.514362,-0.262374259,-0.043212891,0.546756436,2019-04-28T16:13:33.334500Z,119.280337,0.029121176,FR,3,2019-04-28T16:13:15Z,Top Fuel,E1,Heat 3,Saturday
3072.091684,0.750022384,-1194.575813,1279,2524.85543,-0.291644486,0.312255859,0.616419783,2019-04-28T16:18:26.618100Z,139.7538701,0.034119597,FL,0,2019-04-28T16:18:06Z,Top Fuel,E1,Heat 4,Saturday
8756.39001,2.13779053,-2691,-7929,-2562,-0.656982422,-1.935791016,-0.625488281,2019-04-28T16:18:25.991700Z,159.4181526,0.038920447,NL,1,2019-04-28T16:18:06Z,Top Fuel,E1,Heat 4,Saturday
6459.468167,1.577018595,-5272,-3448,1429,-1.287109375,-0.841796875,0.348876953,2019-04-28T16:18:26.221000Z,138.4836199,0.033809478,NR,2,2019-04-28T16:18:06Z,Top Fuel,E1,Heat 4,Saturday
914.0684258,0.223161237,-904.2177994,1,133.829213,-0.220756299,0.000244141,0.032673148,2019-04-28T16:18:26.909500Z,111.358062,0.027187027,FR,3,2019-04-28T16:18:06Z,Top Fuel,E1,Heat 4,Saturday
2361.923158,0.576641396,11.4263501,-849,2204.030273,0.002789636,-0.207275391,0.538093328,2019-04-28T18:19:42.558100Z,140.0997182,0.034204033,FL,0,2019-04-28T18:19:26Z,Top Fuel,E2,Heat 1,Saturday
